Customer ID,Customer Name,Segment,Country,City,State,Region,Postal Code
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,42420
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,42420
DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,90036
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,33311
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,33311
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South,28027
IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,West,98103
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,76106
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,76106
PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,53711
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,84084
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,94109
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,94109
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,94109
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,68025
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,68025
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,19140
EB-13870,Emily Burns,Consumer,United States,Orem,Utah,West,84057
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,90049
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,90049
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,Central,77095
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,75080
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,75080
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,77041
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,77041
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,77041
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,77041
LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,60540
RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,West,90049
